buffersize,write/read_count,write_time_elapsed,read_time_elapsed
1024,2097152,4.742960,0.102330
1024,2097152,0.137632,0.102740
1024,2097152,0.111763,0.104923
1024,2097152,0.110032,0.102799
1024,2097152,0.110857,0.098366
1024,2097152,0.108910,0.096990
1024,2097152,0.107095,0.096883
1024,2097152,0.105462,0.097898
1024,2097152,0.105430,0.097740
1024,2097152,0.115238,0.104286
2048,1048576,3.969514,0.053787
2048,1048576,0.066581,0.082009
2048,1048576,0.061322,0.049154
2048,1048576,0.061468,0.048022
2048,1048576,0.062114,0.048583
2048,1048576,0.062639,0.048827
2048,1048576,0.057370,0.050088
2048,1048576,0.058968,0.055589
2048,1048576,0.057227,0.050998
2048,1048576,0.057175,0.051435
4096,524288,2.990231,0.027127
4096,524288,0.034425,0.024598
4096,524288,0.033648,0.049321
4096,524288,0.032076,0.028354
4096,524288,0.032644,0.024663
4096,524288,0.032621,0.030221
4096,524288,0.033239,0.024861
4096,524288,0.028231,0.033462
4096,524288,0.031347,0.028056
4096,524288,0.032504,0.024701
32768,65536,3.413230,0.005757
32768,65536,0.003210,0.003037
32768,65536,0.003936,0.006251
32768,65536,0.003148,0.002966
32768,65536,0.005336,0.004779
32768,65536,0.003479,0.002996
32768,65536,0.003099,0.003014
32768,65536,0.003014,0.003029
32768,65536,0.003002,0.006635
32768,65536,0.006637,0.003036
65536,32768,3.793006,0.001761
65536,32768,0.002542,0.001576
65536,32768,0.001683,0.001588
65536,32768,0.001580,0.003014
65536,32768,0.002763,0.001561
65536,32768,0.001503,0.001727
65536,32768,0.001675,0.001631
65536,32768,0.001718,0.008797
65536,32768,0.004785,0.001815
65536,32768,0.001973,0.001570
131072,16384,6.088116,0.001738
131072,16384,0.000806,0.000810
131072,16384,0.000794,0.000944
131072,16384,0.000810,0.000957
131072,16384,0.000792,0.000777
131072,16384,0.001080,0.000813
131072,16384,0.000810,0.003941
131072,16384,0.002762,0.000948
131072,16384,0.001651,0.000871
131072,16384,0.000788,0.001225
524288,4096,0.457894,0.000192
524288,4096,0.000190,0.000187
524288,4096,0.000209,0.000361
524288,4096,0.000190,0.000186
524288,4096,0.000188,0.000186
524288,4096,0.000262,0.000324
524288,4096,0.000190,0.000186
524288,4096,0.000188,0.000186
524288,4096,0.000188,0.000186
524288,4096,0.000366,0.000215
1048576,2048,0.007618,0.000106
1048576,2048,0.000105,0.000100
1048576,2048,0.000101,0.000099
1048576,2048,0.000101,0.000099
1048576,2048,0.000101,0.000099
1048576,2048,0.000100,0.000099
1048576,2048,0.000114,0.000101
1048576,2048,0.000119,0.000095
1048576,2048,0.000125,0.000095
1048576,2048,0.000095,0.000093

